FID,ROADWAY,ROAD_SIDE,OFFSET_DIR,BEGIN_POST,END_POST,SPEED,Shape_Leng,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
471,34525000,C, ,0,0.379,35,611.2469,2,34,Levy,2,611.24694797374
472,26060000,C, ,9.89,10.105,55,345.7882,2,26,Alachua,2,345.788237917362
473,34010000,C, ,0.995,6.102,65,8224.414,2,34,Levy,2,8224.41404461285
474,87000063,C, ,1.213,1.399,40,301.3589,6,87,Miami-Dade,6,301.358929016482
475,94000036,C, ,0,0.507,35,815.4516,4,94,St. Lucie,4,815.451624450393
476,87000267,C, ,0,1,30,1615.8135,6,87,Miami-Dade,6,1615.81345127816
477,57040000,C, ,12.319,14.508,35,3535.09,3,57,Okaloosa,3,3535.08997713288
478,75008170,C, ,1.713,5.132,65,5505.6236,5,75,Orange,5,5505.62361995373
479,11502000,C, ,0,0.475,35,768.9753,5,11,Lake,5,768.975307853719
480,11200000,C, ,0,1,55,1609.3693,5,11,Lake,5,1609.36934585548
481,36140000,C, ,0.572,5.22,55,7483.7505,5,36,Marion,5,7483.75050428314
482,55580000,C, ,1.231,3.3,30,3335.2756,3,55,Leon,3,3335.27563921177
483,94504000,C, ,7.602,10.12,40,4069.0011,4,94,St. Lucie,4,4069.0010502611
484,36220000,C, ,7.74,8.06,45,515.1344,5,36,Marion,5,515.134360967264
485,27510000,C, ,1.125,2.618,35,2402.3698,2,27,Baker,2,2402.36983174942
486,75040000,C, ,12.525,13.56,30,1665.7502,5,75,Orange,5,1665.75024927091
487,57000118,C, ,0,0.657,30,1071.3633,3,57,Okaloosa,3,1071.36329707579
488,11130000,C, ,6.105,6.747,45,1033.0302,5,11,Lake,5,1033.03024735812
489,14000003,C, ,0,0.627,30,1004.2005,7,14,Pasco,7,1004.20045563731
490,36000169,C, ,0,0.955,35,1537.6078,5,36,Marion,5,1537.60775258305
491,26680000,C, ,2.647,5.685,55,4887.0626,2,26,Alachua,2,4887.06258953363
