FID,ID,LOCATION_S,DISTRICT,CO_SEC_SUB,BMP,EMP,ROUTEID,LENGTH,FTLCRSH_NU,FTLCRSH_AL,FTLCRSH_PC,FCFTL_NUME,FCFTL_ALL,FCFTL_PCT,FCINJ_NUME,FCINJ_ALL,FCINJ_PCT,INJCRSH_NU,INJCRSH_AL,INJCRSH_PC,ICINJ_NUME,ICINJ_ALL,ICINJ_PCT,PDOCRSH_NU,PDOCRSH_AL,PDOCRSH_PC,TOTCRSH_NU,TOTCRSH_AL,TOTCRSH_PC,TOTFTL_NUM,TOTFTL_ALL,TOTFTL_PCT,TOTINJ_NUM,TOTINJ_ALL,TOTINJ_PCT,URBAN
3832,8815,4,04,93060000,14.1,14.6,SR  A1A,0.5,0,0,0,0,0,0,0,0,0,4,9,44,4,9,44,3,7,43,7,16,44,0,0,0,4,9,44,Y
3833,9685,4,04,94010000,15.8,16.4,SR    5,0.6,1,1,100,1,1,100,0,0,0,4,12,33,4,15,27,5,6,83,10,19,53,1,1,100,4,15,27,Y
3834,9655,4,04,94010000,0,0.4,SR    5,0.4,0,0,0,0,0,0,0,0,0,22,55,40,45,95,47,10,29,34,32,84,38,0,0,0,45,95,47,Y
3835,10675,5,05,70060000,20.6,21.2,SR  A1A,0.6,0,0,0,0,0,0,0,0,0,16,38,42,25,50,50,9,26,35,25,64,39,0,0,0,25,50,50,Y
3836,9634,4,04,94003005,0,0.3,SR  713,0.3,0,0,0,0,0,0,0,0,0,4,9,44,7,19,37,1,1,100,5,10,50,0,0,0,7,19,37,N
3837,11845,5,05,75090000,0,0.4,SR  426,0.4,0,0,0,0,0,0,0,0,0,11,25,44,12,28,43,7,11,64,18,36,50,0,0,0,12,28,43,Y
3838,10342,5,05,36210000,6.2,6.5,SR   93,0.3,1,1,100,2,2,100,2,2,100,2,6,33,7,13,54,1,4,25,4,11,36,2,2,100,9,15,60,Y
3839,9460,4,04,93220159,0,0.16,SR    9,0.16,0,0,0,0,0,0,0,0,0,4,12,33,6,15,40,5,8,62,9,20,45,0,0,0,6,15,40,Y
3840,9142,4,04,93210000,5.4,5.8,SR    7,0.4,0,0,0,0,0,0,0,0,0,8,18,44,15,31,48,6,20,30,14,38,37,0,0,0,15,31,48,Y
3841,13489,5,05,92130000,7,7.4,SR  400,0.4,0,0,0,0,0,0,0,0,0,8,15,53,11,19,58,5,15,33,13,30,43,0,0,0,11,19,58,Y
3842,10582,5,05,70020000,21.4,21.9,SR    5,0.5,0,0,0,0,0,0,0,0,0,4,11,36,5,14,36,4,7,57,8,18,44,0,0,0,5,14,36,Y
3843,8368,4,04,88081000,9.9,10.4,SR    9,0.5,1,1,100,1,1,100,0,0,0,8,17,47,16,31,52,4,10,40,13,28,46,1,1,100,16,31,52,N
3844,10756,5,05,70100000,10,10.3,SR  520,0.3,0,1,0,0,1,0,0,0,0,6,24,25,19,53,36,11,20,55,17,45,38,0,1,0,19,53,36,Y
3845,8503,4,04,89095000,8.9,9.4,SR    9,0.5,0,0,0,0,0,0,0,0,0,3,8,38,8,15,53,6,12,50,9,20,45,0,0,0,8,15,53,N
3846,10375,5,05,36210000,22.9,23.4,SR   93,0.5,0,0,0,0,0,0,0,0,0,1,9,11,3,33,9,10,18,56,11,27,41,0,0,0,3,33,9,N
3847,9430,4,04,93220105,0,0.257,SR    9,0.257,0,0,0,0,0,0,0,0,0,2,6,33,2,9,22,5,9,56,7,15,47,0,0,0,2,9,22,Y
3848,13267,5,05,79220000,0.7,1.4,SR  430,0.7,1,2,50,1,2,50,2,2,100,42,92,46,74,144,51,26,80,32,69,174,40,1,2,50,76,146,52,Y
3849,8452,4,04,89060000,26.1,26.4,SR   76,0.3,0,0,0,0,0,0,0,0,0,6,16,38,11,21,52,6,18,33,12,34,35,0,0,0,11,21,52,Y
3850,8527,4,04,89095000,15.7,16.5,SR    9,0.8,0,1,0,0,1,0,0,2,0,7,14,50,10,19,53,7,15,47,14,30,47,0,1,0,10,21,48,N
3851,11842,5,05,75080102,0.4,0.7,SR   15,0.3,0,0,0,0,0,0,0,0,0,1,4,25,1,6,17,4,10,40,5,14,36,0,0,0,1,6,17,Y
3852,11218,5,05,73010000,12.5,13,SR    5,0.5,0,0,0,0,0,0,0,0,0,4,13,31,5,20,25,8,12,67,12,25,48,0,0,0,5,20,25,Y
3853,10552,5,05,70014000,3.5,3.8,SR  519,0.3,0,0,0,0,0,0,0,0,0,2,4,50,2,6,33,2,4,50,4,8,50,0,0,0,2,6,33,Y
3854,13843,6,06,87026005,0.1,0.7,SR  860,0.6,0,0,0,0,0,0,0,0,0,12,42,29,18,59,31,29,74,39,41,116,35,0,0,0,18,59,31,Y
3855,8785,4,04,93050000,4.1,4.7,SR  805,0.6,1,1,100,1,1,100,0,0,0,9,24,38,16,39,41,14,30,47,24,55,44,1,1,100,16,39,41,Y
3856,12373,5,05,77040000,0.6,1,SR   46,0.4,0,0,0,0,0,0,0,0,0,4,10,40,4,16,25,3,8,38,7,18,39,0,0,0,4,16,25,Y
3857,10456,5,05,70002000,2.5,2.949,SR  406,0.449,0,0,0,0,0,0,0,0,0,15,42,36,21,67,31,18,49,37,33,91,36,0,0,0,21,67,31,N
3858,11251,5,05,75002000,4.3,5.1,SR  482,0.8,0,0,0,0,0,0,0,0,0,74,163,45,104,235,44,75,198,38,149,361,41,0,0,0,104,235,44,Y
3859,9388,4,04,93220065,0,0.263,SR    9,0.263,0,0,0,0,0,0,0,0,0,3,7,43,4,10,40,4,11,36,7,18,39,0,0,0,4,10,40,Y
3860,13597,6,06,87004001,0,0.392,SR  112,0.392,0,0,0,0,0,0,0,0,0,6,7,86,8,10,80,5,17,29,11,24,46,0,0,0,8,10,80,Y
3861,9226,4,04,93220000,17.1,17.5,SR    9,0.4,0,0,0,0,0,0,0,0,0,10,23,43,13,32,41,12,39,31,22,62,35,0,0,0,13,32,41,Y
3862,9001,4,04,93150000,0,0.3,SR  809,0.3,0,1,0,0,1,0,0,0,0,21,47,45,34,76,45,14,39,36,35,87,40,0,1,0,34,76,45,Y
3863,10147,5,05,36009000,10.6,10.843,SR   35,0.243,0,0,0,0,0,0,0,0,0,7,17,41,16,35,46,4,12,33,11,29,38,0,0,0,16,35,46,Y
3864,10114,5,05,36004000,5.1,5.4,SR  464,0.3,1,1,100,1,1,100,0,0,0,2,7,29,5,18,28,2,6,33,5,14,36,1,1,100,5,18,28,Y
3865,12139,5,05,75300000,7.7,8,SR  417,0.3,0,0,0,0,0,0,0,0,0,6,15,40,6,24,25,3,6,50,9,21,43,0,0,0,6,24,25,Y
3866,8764,4,04,93040000,7.3,7.8,SR    5,0.5,0,0,0,0,0,0,0,0,0,2,4,50,3,5,60,4,8,50,6,12,50,0,0,0,3,5,60,Y
3867,12094,5,05,75280165,0,0.289,SR  400,0.289,0,0,0,0,0,0,0,0,0,3,9,33,3,12,25,9,17,53,12,26,46,0,0,0,3,12,25,Y
3868,9982,5,05,18070000,6.4,6.9,SR   44,0.5,1,2,50,1,2,50,0,2,0,8,11,73,12,15,80,2,3,67,11,16,69,1,2,50,12,17,71,N
3869,8449,4,04,89060000,25.4,25.8,SR   76,0.4,0,0,0,0,0,0,0,0,0,11,20,55,14,28,50,5,23,22,16,43,37,0,0,0,14,28,50,Y
3870,12907,5,05,79050000,0.6,1.3,SR   15,0.7,1,1,100,1,1,100,0,0,0,12,34,35,23,64,36,12,27,44,25,62,40,1,1,100,23,64,36,Y
3871,11128,5,05,73001000,4.7,5,SR    9,0.3,0,0,0,0,0,0,0,0,0,3,5,60,8,12,67,2,3,67,5,8,62,0,0,0,8,12,67,Y
3872,10489,5,05,70008000,2.7,3.1,SR  513,0.4,0,0,0,0,0,0,0,0,0,2,7,29,2,8,25,6,8,75,8,15,53,0,0,0,2,8,25,Y
3873,8410,4,04,89010000,15.5,15.9,SR    5,0.4,0,0,0,0,0,0,0,0,0,11,31,35,13,44,30,6,16,38,17,47,36,0,0,0,13,44,30,Y
3874,12679,5,05,79002000,28.3,28.9,SR    9,0.6,1,1,100,1,1,100,1,1,100,5,9,56,7,11,64,13,35,37,19,45,42,1,1,100,8,12,67,Y
3875,11158,5,05,73001000,10.5,11,SR    9,0.5,1,1,100,1,1,100,3,3,100,4,11,36,12,20,60,7,19,37,12,31,39,1,1,100,15,23,65,Y
3876,9259,4,04,93220000,28.5,29.1,SR    9,0.6,0,0,0,0,0,0,0,0,0,20,52,38,33,77,43,20,59,34,40,111,36,0,0,0,33,77,43,Y
3877,12964,5,05,79060000,14.6,15.2,SR  600,0.6,0,0,0,0,0,0,0,0,0,8,11,73,12,18,67,1,2,50,9,13,69,0,0,0,12,18,67,Y
3878,10519,5,05,70010000,14.5,15,SR    5,0.5,1,1,100,1,1,100,2,2,100,6,11,55,13,20,65,1,5,20,8,17,47,1,1,100,15,22,68,Y
3879,9889,5,05,11200000,0.3,0.7,SR   25,0.4,1,1,100,1,1,100,0,0,0,15,40,38,28,61,46,13,37,35,29,78,37,1,1,100,28,61,46,N
3880,11365,5,05,75003000,3.7,4.1,SR  436,0.4,2,2,100,2,2,100,1,1,100,16,46,35,24,73,33,17,40,42,35,88,40,2,2,100,25,74,34,Y
3881,9289,4,04,93220000,37,37.8,SR    9,0.8,0,0,0,0,0,0,0,0,0,16,40,40,26,71,37,19,46,41,35,86,41,0,0,0,26,71,37,Y
3882,8446,4,04,89040001,0,0.059,SR  A1A,0.059,0,0,0,0,0,0,0,0,0,6,9,67,7,11,64,5,9,56,11,18,61,0,0,0,7,11,64,Y
3883,10261,5,05,36100000,4.7,5.2,SR  200,0.5,0,0,0,0,0,0,0,0,0,4,4,100,7,7,100,1,3,33,5,7,71,0,0,0,7,7,100,N
3884,11395,5,05,75005000,0.8,1.3,SR  528,0.5,0,0,0,0,0,0,0,0,0,3,5,60,6,8,75,6,15,40,9,20,45,0,0,0,6,8,75,N
3885,12739,5,05,79002031,0,0.217,SR    9,0.217,0,0,0,0,0,0,0,0,0,6,15,40,7,22,32,3,8,38,9,23,39,0,0,0,7,22,32,Y
3886,8959,4,04,93120000,18.828,19.128,SR   80,0.3,0,1,0,0,1,0,0,0,0,2,6,33,2,8,25,3,6,50,5,13,38,0,1,0,2,8,25,Y
3887,9319,4,04,93220000,45.6,46,SR    9,0.4,0,0,0,0,0,0,0,0,0,5,10,50,9,19,47,0,0,0,5,10,50,0,0,0,9,19,47,Y
3888,10291,5,05,36110000,16.1,16.6,SR   40,0.5,0,0,0,0,0,0,0,0,0,4,14,29,5,28,18,3,6,50,7,20,35,0,0,0,5,28,18,N
3889,8782,4,04,93050000,2.7,3,SR  805,0.3,0,0,0,0,0,0,0,0,0,6,18,33,9,34,26,4,10,40,10,28,36,0,0,0,9,34,26,Y
3890,10897,5,05,70220000,23.6,24,SR    9,0.4,0,0,0,0,0,0,0,0,0,7,18,39,12,29,41,5,15,33,12,33,36,0,0,0,12,29,41,Y
3891,9793,5,05,11070000,2.1,2.4,SR   50,0.3,1,1,100,1,1,100,0,0,0,2,5,40,7,11,64,1,5,20,4,11,36,1,1,100,7,11,64,Y
3892,12511,5,05,77160000,7,7.5,SR  400,0.5,0,0,0,0,0,0,0,0,0,15,32,47,22,46,48,11,36,31,26,68,38,0,0,0,22,46,48,Y
3893,8998,4,04,93140000,19.417,19.917,SR   15,0.5,0,0,0,0,0,0,0,0,0,7,11,64,13,22,59,0,1,0,7,12,58,0,0,0,13,22,59,N
3894,8980,4,04,93121000,0,0.3,SR  812,0.3,0,0,0,0,0,0,0,0,0,4,11,36,7,21,33,1,3,33,5,14,36,0,0,0,7,21,33,N
3895,10999,5,05,70225000,7.4,8.1,SR    9,0.7,0,0,0,0,0,0,0,0,0,6,12,50,9,21,43,6,11,55,12,23,52,0,0,0,9,21,43,Y
3896,10927,5,05,70220000,33.6,34.1,SR    9,0.5,0,0,0,0,0,0,0,0,0,3,9,33,7,17,41,4,8,50,7,17,41,0,0,0,7,17,41,Y
3897,11875,5,05,75140000,15.5,15.9,SR  520,0.4,0,0,0,0,0,0,0,0,0,3,5,60,10,13,77,2,3,67,5,8,62,0,0,0,10,13,77,N
3898,9823,5,05,11110000,9.07,9.57,SR   44,0.5,0,0,0,0,0,0,0,0,0,4,8,50,5,11,45,3,4,75,7,12,58,0,0,0,5,11,45,N
3899,9568,4,04,94001000,13.2,13.7,SR    9,0.5,0,0,0,0,0,0,0,0,0,3,6,50,3,6,50,2,6,33,5,12,42,0,0,0,3,6,50,Y
3900,10690,5,05,70060000,30.9,31.2,SR  A1A,0.3,0,0,0,0,0,0,0,0,0,2,4,50,2,5,40,2,5,40,4,9,44,0,0,0,2,5,40,Y
3901,11029,5,05,70225000,15.9,16.4,SR    9,0.5,0,0,0,0,0,0,0,0,0,1,6,17,3,12,25,6,8,75,7,14,50,0,0,0,3,12,25,N
3902,13696,6,06,87010000,8.5,9,SR    5,0.5,0,0,0,0,0,0,0,0,0,4,6,67,7,10,70,2,4,50,6,10,60,0,0,0,7,10,70,N
3903,9949,5,05,11210000,1,1.301,SR  530,0.301,2,2,100,2,2,100,1,1,100,12,35,34,21,70,30,13,34,38,27,71,38,2,2,100,22,71,31,N
3904,8365,4,04,88081000,8,8.3,SR    9,0.3,0,0,0,0,0,0,0,0,0,6,12,50,7,17,41,2,10,20,8,22,36,0,0,0,7,17,41,N
3905,9598,4,04,94001000,23.8,24.2,SR    9,0.4,0,0,0,0,0,0,0,0,0,6,15,40,11,25,44,4,13,31,10,28,36,0,0,0,11,25,44,N
3906,12109,5,05,75280175,0,0.3,SR  400,0.3,0,0,0,0,0,0,0,0,0,5,7,71,7,10,70,4,5,80,9,12,75,0,0,0,7,10,70,Y
3907,10390,5,05,36210000,32.6,33.1,SR   93,0.5,0,0,0,0,0,0,0,0,0,1,3,33,5,8,62,3,8,38,4,11,36,0,0,0,5,8,62,N
3908,10720,5,05,70070000,8.7,9.1,SR  528,0.4,1,1,100,1,1,100,1,1,100,2,3,67,4,5,80,3,4,75,6,8,75,1,1,100,5,6,83,Y
3909,11266,5,05,75002000,10.6,10.9,SR  528,0.3,0,0,0,0,0,0,0,0,0,2,6,33,3,7,43,4,10,40,6,16,38,0,0,0,3,7,43,Y
3910,11872,5,05,75140000,15.1,15.4,SR  520,0.3,0,1,0,0,1,0,0,0,0,4,7,57,8,11,73,3,10,30,7,18,39,0,1,0,8,11,73,N
3911,13168,5,05,79120000,16.3,16.6,SR  415,0.3,1,1,100,1,1,100,0,0,0,3,4,75,4,5,80,1,1,100,5,6,83,1,1,100,4,5,80,N
3912,13450,5,05,92090015,0,0.3,SR  530,0.3,0,0,0,0,0,0,0,0,0,2,2,100,4,4,100,3,3,100,5,5,100,0,0,0,4,4,100,N
3913,13282,5,05,79230000,0,0.4,SR  421,0.4,0,1,0,0,3,0,0,1,0,18,50,36,26,70,37,17,35,49,35,86,41,0,3,0,26,71,37,Y
3914,13858,6,06,87026005,3.4,3.664,SR  860,0.264,0,0,0,0,0,0,0,0,0,28,87,32,53,176,30,40,97,41,68,184,37,0,0,0,53,176,30,Y
3915,9646,4,04,94005000,2.3,3.7,SR  615,1.4,0,1,0,0,2,0,0,1,0,33,87,38,43,124,35,25,58,43,58,146,40,0,2,0,43,125,34,Y
3916,9157,4,04,93210000,23,23.7,SR    7,0.7,0,0,0,0,0,0,0,0,0,21,52,40,31,88,35,13,37,35,34,89,38,0,0,0,31,88,35,Y
3917,9421,4,04,93220097,0.1,0.323,SR    9,0.223,0,0,0,0,0,0,0,0,0,3,5,60,4,6,67,6,10,60,9,15,60,0,0,0,4,6,67,Y
3918,10543,5,05,70012000,3.7,4.2,SR  507,0.5,0,0,0,0,0,0,0,0,0,14,39,36,21,60,35,10,24,42,24,63,38,0,0,0,21,60,35,Y
3919,9379,4,04,93220052,0,0.263,SR    9,0.263,0,0,0,0,0,0,0,0,0,3,5,60,5,9,56,4,10,40,7,15,47,0,0,0,5,9,56,Y
3920,8500,4,04,89095000,7.3,7.8,SR    9,0.5,0,1,0,0,1,0,0,4,0,8,18,44,16,27,59,9,21,43,17,40,42,0,1,0,16,31,52,N
3921,8812,4,04,93060000,10.2,10.6,SR  A1A,0.4,0,0,0,0,0,0,0,0,0,3,7,43,5,9,56,3,4,75,6,11,55,0,0,0,5,9,56,Y
3922,9028,4,04,93150000,8.3,8.6,SR  809,0.3,1,1,100,1,1,100,0,0,0,4,15,27,9,23,39,5,12,42,10,28,36,1,1,100,9,23,39,Y
3923,11119,5,05,73001000,2.6,2.9,SR    9,0.3,0,0,0,0,0,0,0,0,0,3,7,43,7,13,54,1,4,25,4,11,36,0,0,0,7,13,54,Y
3924,8497,4,04,89095000,6.7,7.2,SR    9,0.5,1,1,100,1,1,100,0,0,0,8,18,44,12,23,52,6,17,35,15,36,42,1,1,100,12,23,52,N
3925,10510,5,05,70010000,11,11.3,SR    5,0.3,0,0,0,0,0,0,0,0,0,1,4,25,1,5,20,3,3,100,4,7,57,0,0,0,1,5,20,Y
3926,9853,5,05,11130000,6.203,6.703,SR   46,0.5,0,0,0,0,0,0,0,0,0,6,17,35,10,33,30,4,9,44,10,26,38,0,0,0,10,33,30,Y
3927,9280,4,04,93220000,34.4,35,SR    9,0.6,1,3,33,1,3,33,0,2,0,19,40,48,27,63,43,18,60,30,38,103,37,1,3,33,27,65,42,Y
3928,11386,5,05,75003000,10.4,10.8,SR  436,0.4,1,2,50,1,2,50,0,6,0,39,110,35,60,151,40,42,119,35,82,231,36,1,2,50,60,157,38,Y
3929,10282,5,05,36110000,12.3,12.7,SR   40,0.4,0,0,0,0,0,0,0,0,0,2,4,50,2,5,40,2,3,67,4,7,57,0,0,0,2,5,40,N
3930,9025,4,04,93150000,7.4,7.9,SR  809,0.5,0,0,0,0,0,0,0,0,0,8,15,53,10,21,48,1,5,20,9,20,45,0,0,0,10,21,48,Y
3931,10918,5,05,70220000,31.3,31.6,SR    9,0.3,0,0,0,0,0,0,0,0,0,5,11,45,6,15,40,3,10,30,8,21,38,0,0,0,6,15,40,Y
3932,9814,5,05,11110000,3.57,3.97,SR   44,0.4,0,0,0,0,0,0,0,0,0,1,7,14,4,14,29,3,4,75,4,11,36,0,0,0,4,14,29,N
3933,10558,5,05,70020000,2.4,3.1,SR    5,0.7,0,0,0,0,0,0,0,0,0,10,22,45,21,36,58,7,17,41,17,39,44,0,0,0,21,36,58,Y
3934,9394,4,04,93220071,0,0.2,SR    9,0.2,0,0,0,0,0,0,0,0,0,3,6,50,7,10,70,4,8,50,7,14,50,0,0,0,7,10,70,Y
3935,8809,4,04,93060000,9.5,9.8,SR  A1A,0.3,0,1,0,0,1,0,0,0,0,6,19,32,7,20,35,6,13,46,12,33,36,0,1,0,7,20,35,Y
3936,11134,5,05,73001000,5.5,5.8,SR    9,0.3,0,0,0,0,0,0,0,0,0,3,6,50,3,7,43,4,12,33,7,18,39,0,0,0,3,7,43,Y
3937,9865,5,05,11130000,12.003,12.403,SR   46,0.4,2,2,100,2,2,100,3,3,100,3,4,75,8,9,89,1,3,33,6,9,67,2,2,100,11,12,92,N
3938,8494,4,04,89095000,5.2,5.5,SR    9,0.3,0,0,0,0,0,0,0,0,0,5,8,62,8,12,67,6,23,26,11,31,35,0,0,0,8,12,67,N
3939,10525,5,05,70011000,0.1,1.1,SR  501,1,0,0,0,0,0,0,0,0,0,14,42,33,20,66,30,14,30,47,28,72,39,0,0,0,20,66,30,Y
3940,9295,4,04,93220000,38.6,39,SR    9,0.4,0,1,0,0,1,0,0,1,0,3,6,50,3,9,33,4,6,67,7,13,54,0,1,0,3,10,30,Y
3941,11401,5,05,75005007,0,0.273,SR  528,0.273,0,0,0,0,0,0,0,0,0,1,3,33,4,7,57,3,5,60,4,8,50,0,0,0,4,7,57,N
3942,10297,5,05,36110000,19.2,19.7,SR   40,0.5,1,1,100,1,1,100,0,0,0,4,8,50,6,12,50,2,3,67,7,12,58,1,1,100,6,12,50,N
3943,9022,4,04,93150000,5.1,5.6,SR  809,0.5,1,1,100,1,1,100,0,0,0,4,9,44,8,14,57,4,7,57,9,17,53,1,1,100,8,14,57,Y
3944,10933,5,05,70220000,37.2,37.5,SR    9,0.3,0,0,0,0,0,0,0,0,0,2,7,29,5,18,28,3,7,43,5,14,36,0,0,0,5,18,28,Y
3945,9829,5,05,11110000,17.37,17.87,SR   44,0.5,1,1,100,1,1,100,0,0,0,1,1,100,1,1,100,5,5,100,7,7,100,1,1,100,1,1,100,N
3946,11035,5,05,70225000,16.9,17.2,SR    9,0.3,1,1,100,1,1,100,0,0,0,1,2,50,3,4,75,2,2,100,4,5,80,1,1,100,3,4,75,N
3947,9604,4,04,94001000,25.9,26.4,SR    9,0.5,0,0,0,0,0,0,0,0,0,9,19,47,14,30,47,5,18,28,14,37,38,0,0,0,14,30,47,N
3948,10726,5,05,70070000,11.8,12.3,SR  528,0.5,0,1,0,0,1,0,0,1,0,4,12,33,7,26,27,3,7,43,7,20,35,0,1,0,7,27,26,Y
3949,11839,5,05,75080101,1.302,2.102,SR   15,0.8,0,1,0,0,1,0,0,2,0,20,49,41,35,90,39,20,54,37,40,104,38,0,1,0,35,92,38,Y
3950,8491,4,04,89095000,4.2,4.7,SR    9,0.5,0,0,0,0,0,0,0,0,0,6,13,46,14,26,54,14,28,50,20,41,49,0,0,0,14,26,54,N
3951,13504,5,05,92130020,0.9,1.188,SR  400,0.288,1,1,100,1,1,100,4,4,100,3,4,75,3,4,75,3,4,75,7,9,78,1,1,100,7,8,88,N
3952,10426,5,05,36220000,2.3,2.6,SR  500,0.3,0,0,0,0,0,0,0,0,0,3,7,43,6,14,43,2,4,50,5,11,45,0,0,0,6,14,43,N
3953,12274,5,05,75320030,0,0.3,SR  429,0.3,0,0,0,0,0,0,0,0,0,3,7,43,4,8,50,3,9,33,6,16,38,0,0,0,4,8,50,Y
3954,9196,4,04,93220000,8.8,9.2,SR    9,0.4,1,1,100,1,1,100,1,1,100,11,31,35,18,50,36,15,44,34,27,76,36,1,1,100,19,51,37,Y
3955,13336,5,05,92030000,5.1,5.5,SR  500,0.4,0,0,0,0,0,0,0,0,0,5,13,38,5,18,28,4,10,40,9,23,39,0,0,0,5,18,28,Y
3956,11302,5,05,75002000,23.1,23.7,SR  528,0.6,0,0,0,0,0,0,0,0,0,3,5,60,8,14,57,6,15,40,9,20,45,0,0,0,8,14,57,N
3957,13912,6,06,87030000,22.4,22.9,SR    5,0.5,1,1,100,1,1,100,0,0,0,17,44,39,29,64,45,15,44,34,33,89,37,1,1,100,29,64,45,Y
3958,12208,5,05,75301000,15,15.3,SR  417,0.3,0,0,0,0,0,0,0,0,0,2,4,50,6,13,46,2,2,100,4,6,67,0,0,0,6,13,46,Y
3959,13033,5,05,79110000,0.5,1.9,SR  400,1.4,1,1,100,1,1,100,1,1,100,22,52,42,26,76,34,30,47,64,53,100,53,1,1,100,27,77,35,Y
3960,13804,6,06,87021000,0.1,0.4,SR  878,0.3,1,1,100,1,1,100,0,0,0,6,9,67,8,14,57,6,12,50,13,22,59,1,1,100,8,14,57,Y
3961,12808,5,05,79010000,26,27.1,SR    5,1.1,1,3,33,1,4,25,1,2,50,15,27,56,19,36,53,4,9,44,20,39,51,1,4,25,20,38,53,Y
3962,12580,5,05,77300001,0.3,0.624,SR  417,0.324,1,1,100,1,1,100,0,0,0,11,29,38,19,41,46,5,14,36,17,44,39,1,1,100,19,41,46,Y
3963,11836,5,05,75080000,18.317,18.617,SR   15,0.3,0,0,0,0,0,0,0,0,0,1,2,50,1,2,50,3,4,75,4,6,67,0,0,0,1,2,50,Y
3964,13765,6,06,87020000,4.7,5.4,SR    5,0.7,2,2,100,2,2,100,2,2,100,53,110,48,112,225,50,39,122,32,94,234,40,2,2,100,114,227,50,Y
3965,13405,5,05,92090000,3.2,3.5,SR  530,0.3,0,0,0,0,0,0,0,0,0,4,11,36,13,25,52,4,11,36,8,22,36,0,0,0,13,25,52,N
3966,11833,5,05,75080000,17.717,18.217,SR   15,0.5,0,0,0,0,0,0,0,0,0,12,35,34,23,73,32,10,23,43,22,58,38,0,0,0,23,73,32,Y
3967,13237,5,05,79190000,5.3,5.8,SR    5A,0.5,0,0,0,0,0,0,0,0,0,20,42,48,30,62,48,14,39,36,34,81,42,0,0,0,30,62,48,Y
3968,12934,5,05,79060000,2.7,3,SR  600,0.3,0,0,0,0,0,0,0,0,0,3,6,50,7,11,64,2,4,50,5,10,50,0,0,0,7,11,64,Y
3969,11467,5,05,75008080,0,0.3,SR  408,0.3,0,0,0,0,0,0,0,0,0,1,2,50,2,3,67,3,6,50,4,8,50,0,0,0,2,3,67,Y
3970,12709,5,05,79002000,38.1,38.6,SR    9,0.5,0,0,0,0,0,0,0,0,0,6,10,60,16,21,76,6,9,67,12,19,63,0,0,0,16,21,76,Y
3971,12481,5,05,77120001,0.7,1.5,SR  434,0.8,2,2,100,2,2,100,0,0,0,11,26,42,14,33,42,10,30,33,23,58,40,2,2,100,14,33,42,Y
3972,12442,5,05,77080000,7.6,8,SR  436,0.4,1,1,100,1,1,100,1,1,100,18,58,31,26,88,30,20,41,49,39,100,39,1,1,100,27,89,30,Y
3973,13666,6,06,87008000,5.1,5.4,SR  916,0.3,0,0,0,0,0,0,0,0,0,14,30,47,19,37,51,18,57,32,32,87,37,0,0,0,19,37,51,Y
3974,11830,5,05,75080000,17.317,17.617,SR   15,0.3,0,0,0,0,0,0,0,0,0,2,7,29,4,9,44,2,4,50,4,11,36,0,0,0,4,9,44,Y
3975,13573,6,06,87003013,0,0.07,SR  112,0.07,0,1,0,0,1,0,0,0,0,7,15,47,12,22,55,16,39,41,23,55,42,0,1,0,12,22,55,Y
3976,13141,5,05,79110036,0,0.265,SR  400,0.265,0,0,0,0,0,0,0,0,0,1,5,20,2,9,22,3,5,60,4,10,40,0,0,0,2,9,22,Y
3977,12343,5,05,77030000,2.072,2.372,SR   46,0.3,0,0,0,0,0,0,0,0,0,2,6,33,5,13,38,2,3,67,4,9,44,0,0,0,5,13,38,Y
3978,12091,5,05,75280164,0,0.25,SR  400,0.25,0,0,0,0,0,0,0,0,0,1,5,20,1,6,17,3,6,50,4,11,36,0,0,0,1,6,17,Y
3979,13102,5,05,79110000,19.4,19.7,SR  400,0.3,0,0,0,0,0,0,0,0,0,3,4,75,6,7,86,1,1,100,4,5,80,0,0,0,6,7,86,N
3980,12877,5,05,79040000,5.777,6.777,SR   15,1,2,2,100,2,2,100,0,0,0,15,37,41,23,60,38,6,15,40,23,54,43,2,2,100,23,60,38,Y
3981,12649,5,05,79002000,20.1,20.6,SR    9,0.5,0,1,0,0,1,0,0,4,0,5,12,42,9,18,50,3,7,43,8,20,40,0,1,0,9,22,41,Y
3982,11827,5,05,75080000,16.717,17.017,SR   15,0.3,0,0,0,0,0,0,0,0,0,13,50,26,18,77,23,19,37,51,32,87,37,0,0,0,18,77,23,Y
3983,13474,5,05,92130000,4.1,4.4,SR  400,0.3,0,0,0,0,0,0,0,0,0,2,7,29,3,9,33,6,11,55,8,18,44,0,0,0,3,9,33,N
3984,12244,5,05,75301031,0,0.187,SR  417,0.187,0,0,0,0,0,0,0,0,0,2,8,25,2,11,18,7,12,58,9,20,45,0,0,0,2,11,18,Y
3985,13306,5,05,79260000,5.2,5.409,SR  441,0.209,0,0,0,0,0,0,0,0,0,3,14,21,3,19,16,10,19,53,13,33,39,0,0,0,3,19,16,Y
3986,13882,6,06,87030000,10.7,11,SR    5,0.3,0,0,0,0,0,0,0,0,0,11,30,37,16,38,42,75,215,35,86,245,35,0,0,0,16,38,42,Y
3987,12178,5,05,75300028,0,0.212,SR  417,0.212,1,1,100,1,1,100,0,0,0,6,17,35,10,21,48,6,16,38,13,34,38,1,1,100,10,21,48,N
