FID,ID,LOCATION_S,DISTRICT,CO_SEC_SUB,BMP,EMP,ROUTEID,LENGTH,FTLCRSH_NU,FTLCRSH_AL,FTLCRSH_PC,FCFTL_NUME,FCFTL_ALL,FCFTL_PCT,FCINJ_NUME,FCINJ_ALL,FCINJ_PCT,INJCRSH_NU,INJCRSH_AL,INJCRSH_PC,ICINJ_NUME,ICINJ_ALL,ICINJ_PCT,PDOCRSH_NU,PDOCRSH_AL,PDOCRSH_PC,TOTCRSH_NU,TOTCRSH_AL,TOTCRSH_PC,TOTFTL_NUM,TOTFTL_ALL,TOTFTL_PCT,TOTINJ_NUM,TOTINJ_ALL,TOTINJ_PCT,URBAN
357,2899,2,02,37080000,9.2,9.5,SR  247,0.3,0,0,0,0,0,0,0,0,0,1,4,25,1,8,12,3,4,75,4,8,50,0,0,0,1,8,12,N
358,3649,2,02,72040000,14.8,15.2,SR   10A,0.4,0,0,0,0,0,0,0,0,0,8,17,47,10,23,43,14,39,36,22,56,39,0,0,0,10,23,43,Y
359,3469,2,02,72010000,18.8,19.1,SR   10,0.3,0,0,0,0,0,0,0,0,0,1,3,33,1,3,33,5,14,36,6,17,35,0,0,0,1,3,33,Y
360,658,1,01,12040000,2.7,3.1,SR  867,0.4,0,1,0,0,1,0,0,0,0,9,14,64,12,21,57,1,2,50,10,17,59,0,1,0,12,21,57,Y
361,3106,2,02,72001000,7.433,7.833,SR    9A,0.4,0,0,0,0,0,0,0,0,0,6,12,50,13,28,46,6,21,29,12,33,36,0,0,0,13,28,46,Y
362,2980,2,02,39020000,2.629,3.029,SR  121,0.4,0,0,0,0,0,0,0,0,0,3,3,100,3,3,100,2,2,100,5,5,100,0,0,0,3,3,100,N
363,112,1,01,01075000,16,16.4,SR   93,0.4,0,0,0,0,0,0,0,0,0,2,5,40,6,14,43,3,5,60,5,10,50,0,0,0,6,14,43,Y
364,3676,2,02,72040331,0,0.3,SR  115,0.3,0,0,0,0,0,0,0,0,0,8,16,50,12,24,50,18,40,45,26,56,46,0,0,0,12,24,50,Y
365,709,1,01,12070000,8.3,8.6,SR   82,0.3,0,0,0,0,0,0,0,0,0,3,5,60,9,12,75,3,4,75,6,9,67,0,0,0,9,12,75,Y
366,1495,1,01,16180000,28,28.3,SR   25,0.3,0,1,0,0,1,0,0,0,0,12,27,44,21,47,45,0,5,0,12,33,36,0,1,0,21,47,45,N
367,3067,2,02,71070000,5.5,5.8,SR   21,0.3,0,0,0,0,0,0,0,0,0,3,6,50,4,7,57,1,2,50,4,8,50,0,0,0,4,7,57,Y
368,3916,2,02,72120000,13.376,13.676,SR  228,0.3,0,1,0,0,1,0,0,0,0,18,34,53,34,80,42,5,22,23,23,57,40,0,1,0,34,80,42,Y
369,259,1,01,03175000,29.063,29.363,SR   93,0.3,0,1,0,0,1,0,0,1,0,2,4,50,3,6,50,3,6,50,5,11,45,0,1,0,3,7,43,N
370,3766,2,02,72070000,14.4,14.9,SR    5,0.5,1,1,100,1,1,100,0,0,0,3,12,25,4,22,18,5,12,42,9,25,36,1,1,100,4,22,18,Y
371,1156,1,01,16020000,19.849,20.149,SR  600,0.3,1,1,100,1,1,100,0,0,0,3,9,33,3,11,27,1,3,33,5,13,38,1,1,100,3,11,27,Y
372,889,1,01,13020000,4.7,5,SR   43,0.3,0,0,0,0,0,0,0,0,0,2,6,33,3,7,43,2,3,67,4,9,44,0,0,0,3,7,43,Y
373,3214,2,02,72001000,34.033,34.533,SR    9A,0.5,2,2,100,2,2,100,0,0,0,2,3,67,2,3,67,3,9,33,7,14,50,2,2,100,2,3,67,Y
